36, 2, 0.98
36, 4, 1.33
36, 8, 1.03
36, 16, 1.02
36, 32, 1.30
36, 64, 1.28
36, 128, 1.61
36, 256, 1.76
36, 512, 2.02
36, 1024, 2.45
36, 2048, 3.45
36, 4096, 5.17
36, 8192, 8.81
36, 16384, 15.90
36, 32768, 30.87
36, 65536, 66.73
36, 131072, 142.50
36, 262144, 298.33
36, 524288, 841.45
36, 1048576, 3736.28
38, 2, 0.97
38, 4, 1.38
38, 8, 1.00
38, 16, 1.00
38, 32, 1.29
38, 64, 1.25
38, 128, 1.60
38, 256, 1.73
38, 512, 1.97
38, 1024, 2.38
38, 2048, 3.28
38, 4096, 5.11
38, 8192, 8.63
38, 16384, 16.15
38, 32768, 30.86
38, 65536, 66.27
38, 131072, 142.00
38, 262144, 294.05
38, 524288, 808.36
38, 1048576, 3719.86
40, 2, 1.01
40, 4, 1.25
40, 8, 1.02
40, 16, 1.06
40, 32, 1.37
40, 64, 1.32
40, 128, 1.64
40, 256, 1.75
40, 512, 2.04
40, 1024, 2.43
40, 2048, 3.42
40, 4096, 5.20
40, 8192, 8.88
40, 16384, 16.57
40, 32768, 34.25
40, 65536, 66.26
40, 131072, 143.02
40, 262144, 286.69
40, 524288, 803.24
40, 1048576, 3789.02
42, 2, 0.99
42, 4, 1.06
42, 8, 1.00
42, 16, 1.05
42, 32, 1.30
42, 64, 1.30
42, 128, 1.62
42, 256, 1.70
42, 512, 1.95
42, 1024, 2.38
42, 2048, 3.45
42, 4096, 5.07
42, 8192, 8.73
42, 16384, 16.18
42, 32768, 33.54
42, 65536, 65.59
42, 131072, 142.11
42, 262144, 279.16
42, 524288, 798.66
42, 1048576, 3753.37
44, 2, 1.02
44, 4, 1.54
44, 8, 1.05
44, 16, 1.08
44, 32, 1.34
44, 64, 1.37
44, 128, 1.69
44, 256, 1.75
44, 512, 1.99
44, 1024, 2.43
