2, 2, 0.18
2, 4, 0.18
2, 8, 0.18
2, 16, 0.21
2, 32, 0.26
2, 64, 0.24
2, 128, 0.30
2, 256, 0.30
2, 512, 0.32
2, 1024, 0.43
2, 2048, 0.53
2, 4096, 0.84
2, 8192, 1.35
2, 16384, 3.11
2, 32768, 5.28
2, 65536, 7.07
2, 131072, 9.90
2, 262144, 15.82
2, 524288, 29.00
2, 1048576, 63.42
4, 2, 0.20
4, 4, 0.19
4, 8, 0.19
4, 16, 0.20
4, 32, 0.27
4, 64, 0.27
4, 128, 0.45
4, 256, 0.51
4, 512, 0.53
4, 1024, 0.73
4, 2048, 1.05
4, 4096, 1.67
4, 8192, 2.61
4, 16384, 5.60
4, 32768, 8.73
4, 65536, 14.49
4, 131072, 27.02
4, 262144, 54.72
4, 524288, 102.34
4, 1048576, 215.61
6, 2, 0.30
6, 4, 0.31
6, 8, 0.32
6, 16, 0.30
6, 32, 0.43
6, 64, 0.43
6, 128, 0.65
6, 256, 0.75
6, 512, 0.76
6, 1024, 1.07
6, 2048, 1.50
6, 4096, 2.41
6, 8192, 3.83
6, 16384, 6.85
6, 32768, 11.70
6, 65536, 22.42
6, 131072, 33.83
6, 262144, 85.80
6, 524288, 172.53
6, 1048576, 332.14
8, 2, 0.64
8, 4, 0.70
8, 8, 0.63
8, 16, 0.66
8, 32, 0.84
8, 64, 0.81
8, 128, 1.31
8, 256, 1.37
8, 512, 1.35
8, 1024, 1.76
8, 2048, 2.34
8, 4096, 3.49
8, 8192, 5.04
8, 16384, 8.47
8, 32768, 14.85
8, 65536, 28.66
8, 131072, 56.42
8, 262144, 112.72
8, 524288, 225.78
8, 1048576, 431.89
10, 2, 0.94
10, 4, 0.87
10, 8, 0.88
10, 16, 0.84
10, 32, 1.13
10, 64, 0.99
10, 128, 1.53
10, 256, 1.59
10, 512, 1.73
10, 1024, 2.25
10, 2048, 2.84
10, 4096, 4.19
10, 8192, 6.02
10, 16384, 9.79
10, 32768, 18.12
10, 65536, 35.03
10, 131072, 70.37
10, 262144, 126.77
10, 524288, 282.14
10, 1048576, 529.01
12, 2, 0.89
12, 4, 0.90
12, 8, 0.93
12, 16, 0.91
12, 32, 1.16
12, 64, 1.09
12, 128, 1.78
12, 256, 1.88
12, 512, 1.87
12, 1024, 2.53
12, 2048, 3.28
12, 4096, 4.75
12, 8192, 7.01
12, 16384, 11.37
12, 32768, 20.89
12, 65536, 41.34
12, 131072, 82.15
12, 262144, 166.59
12, 524288, 330.81
12, 1048576, 640.38
14, 2, 0.98
14, 4, 0.97
14, 8, 0.95
14, 16, 0.96
14, 32, 1.20
14, 64, 1.29
14, 128, 2.07
14, 256, 2.15
14, 512, 2.25
14, 1024, 3.11
14, 2048, 4.19
14, 4096, 5.80
14, 8192, 8.54
14, 16384, 15.22
14, 32768, 29.31
14, 65536, 59.88
14, 131072, 118.49
14, 262144, 238.13
14, 524288, 431.44
14, 1048576, 865.94
16, 2, 1.51
16, 4, 1.51
16, 8, 1.53
16, 16, 1.55
16, 32, 1.96
16, 64, 1.81
16, 128, 3.38
16, 256, 3.46
16, 512, 3.51
16, 1024, 4.54
16, 2048, 5.49
16, 4096, 7.78
16, 8192, 11.37
16, 16384, 16.86
16, 32768, 35.30
16, 65536, 71.90
16, 131072, 147.16
16, 262144, 294.48
16, 524288, 597.59
